0	[10019, 20967, 62641, 72385, 92759, 156781, 169797, 210814, 211950, 263393, 266349, 295863, 342516, 398487, 531338, 536972, 557026, 567841, 580486, 592391, 609256, 753509, 800081, 813540, 839736, 841387, 843401, 888093, 931698, 952821, 991160, 1049061, 1079396, 1143639, 1152246, 1161488, 1194287, 1237943, 1269351, 1297882, 1312277, 1317709, 1325295, 1366970, 1373006, 1425352, 1452405, 1492679, 1524498, 1594431, 1636826, 1651940, 1706538, 1763807, 1770468, 1786015, 1796195, 1815816, 1830983, 1831128, 1936854, 1941455, 1946142, 1984246, 2047880, 2074966]
1	[173593, 191677, 232490, 239338, 256620, 316323, 356972, 380915, 384298, 473066, 479433, 480696, 653975, 670093, 677582, 688673, 700779, 731282, 742371, 744700, 754085, 781274, 790661, 822115, 849738, 865037, 934074, 992334, 1002597, 1027078, 1045980, 1086703, 1147212, 1157004, 1176992, 1284357, 1287379, 1373261, 1390774, 1394918, 1468447, 1485916, 1489409, 1492370, 1561938, 1603900, 1643468, 1775516, 1797310, 1899005, 1920255, 1949435, 2009087, 2028099, 2038667]
2	[73216, 374745, 422300, 455752, 1109689, 1881823]
3	[353069, 839736, 931476, 963448, 1751670, 1836866]
4	[6936, 14835, 50359, 104177, 180883, 224128, 239133, 304161, 398292, 423456, 435344, 442534, 470762, 477978, 485743, 506678, 509441, 510274, 525932, 667855, 706731, 713254, 724670, 739949, 743963, 865155, 925233, 959427, 1008448, 1070212, 1158920, 1191435, 1202675, 1246530, 1305659, 1317012, 1349992, 1360498, 1379128, 1537249, 1576297, 1753118, 1813981, 1998752, 2006561, 2037299, 2040759]
5	[173339, 385687, 431836, 511389, 544881, 620186, 1171069, 1246530, 1265839, 1367089, 1525028, 1942120, 2037299]
6	[21665, 36486, 74616, 174974, 217150, 223773, 273492, 286210, 291785, 500215, 504300, 530908, 563629, 583339, 619203, 703296, 731443, 755524, 810123, 821721, 824998, 839736, 856067, 918738, 933372, 938179, 941906, 947320, 985277, 992045, 1012664, 1128580, 1246313, 1248270, 1250941, 1300247, 1334972, 1388162, 1399755, 1426301, 1427875, 1432187, 1446246, 1446356, 1480703, 1509307, 1514680, 1588412, 1623035, 1643467, 1681027, 1899557, 1908858, 1967769]
7	[703402, 1899557, 1914254, 2085655]
8	[119477, 142394, 146240, 275317, 327024, 376187, 618704, 636911, 646215, 682679, 767374, 821837, 839308, 839736, 864973, 880807, 897257, 968967, 1013602, 1030195, 1075494, 1086555, 1094296, 1178625, 1208151, 1227574, 1255453, 1298361, 1437636, 1495587, 1509021, 1533011, 1612579, 1612584, 1633558, 1639202, 1687983, 1707585, 1744503, 1791156, 1813262, 1848529, 1991646, 1996962, 2094648]
9	[8129, 64694, 101816, 133205, 168587, 193629, 298495, 313742, 378101, 525323, 704362, 727998, 742301, 753790, 772368, 839736, 856573, 953336, 970547, 1101472, 1130496, 1148414, 1229660, 1283332, 1326471, 1334236, 1368389, 1388440, 1394838, 1492009, 1513840, 1529852, 1632214, 1640943, 1678785, 1728432, 1740829, 1756058, 1861684, 1865282]
10	[267034, 312794, 499953, 1019609]
11	[33417, 44403, 185523, 235093, 266280, 345421, 356540, 395782, 446167, 492974, 519503, 521397, 571810, 586185, 661319, 775388, 889291, 959295, 992688, 1014820, 1029726, 1040142, 1050928, 1063775, 1108472, 1168815, 1173076, 1197899, 1201175, 1292929, 1375289, 1476568, 1481209, 1485450, 1499959, 1510830, 1544742, 1562105, 1562625, 1695419, 1732392, 1759695, 1871332, 1959217, 2042540, 2046348, 2081562]
