0	[173593, 191677, 232490, 239338, 256620, 316323, 356972, 380915, 384298, 473066, 479433, 480696, 653975, 670093, 677582, 688673, 700779, 731282, 742371, 744700, 754085, 781274, 790661, 822115, 849738, 865037, 934074, 992334, 1002597, 1027078, 1045980, 1086703, 1147212, 1157004, 1176992, 1284357, 1287379, 1373261, 1390774, 1394918, 1468447, 1485916, 1489409, 1492370, 1561938, 1603900, 1643468, 1775516, 1797310, 1899005, 1920255, 1949435, 2009087, 2028099, 2038667]
1	[73216, 374745, 422300, 455752, 1109689, 1881823]
2	[173339, 385687, 431836, 511389, 544881, 620186, 1171069, 1246530, 1265839, 1367089, 1525028, 1942120, 2037299]
3	[6936, 14835, 50359, 104177, 173339, 180883, 224128, 239133, 304161, 385687, 398292, 423456, 431836, 435344, 442534, 470762, 477978, 485743, 506678, 509441, 510274, 511389, 525932, 544881, 620186, 667855, 706731, 713254, 724670, 739949, 743963, 865155, 925233, 959427, 1008448, 1070212, 1158920, 1171069, 1191435, 1202675, 1246530, 1265839, 1305659, 1317012, 1349992, 1360498, 1367089, 1379128, 1525028, 1537249, 1576297, 1753118, 1813981, 1942120, 1998752, 2006561, 2037299, 2040759]
4	[267034, 312794, 499953, 1019609]
5	[33417, 44403, 185523, 235093, 266280, 345421, 356540, 395782, 446167, 492974, 519503, 521397, 571810, 586185, 661319, 775388, 889291, 959295, 992688, 1014820, 1029726, 1040142, 1050928, 1063775, 1108472, 1168815, 1173076, 1197899, 1201175, 1292929, 1375289, 1476568, 1481209, 1485450, 1499959, 1510830, 1544742, 1562105, 1562625, 1695419, 1732392, 1759695, 1871332, 1959217, 2042540, 2046348, 2081562]
6	[108559, 319867, 737782, 1719557, 2076701, 2091832]
7	[639466, 725019, 1088678, 1201815]
8	[473436, 590785, 1107698, 1253108, 1982133, 2047018, 2067907]
9	[117066, 842645, 1119534, 1220077]
10	[83376, 90317, 143415, 153470, 171002, 220550, 229952, 258967, 280439, 357245, 405279, 418150, 511781, 575771, 589598, 598158, 642982, 679297, 708080, 714380, 787796, 795257, 810735, 813636, 825466, 833129, 841015, 875863, 910939, 931049, 935776, 963148, 965076, 970160, 970490, 1032029, 1045021, 1082547, 1098358, 1125646, 1138420, 1152233, 1165425, 1178195, 1224245, 1231028, 1234713, 1246650, 1346967, 1405426, 1410699, 1417243, 1449824, 1459714, 1490672, 1554678, 1597320, 1683303, 1692925, 1728164, 1749109, 1858381, 1873607, 1923192, 1979024, 2052043, 2060106, 2081131, 2093891]
11	[958301, 1162853, 1549032, 1565051]
12	[265933, 1166845, 1276675, 1401559]
13	[487752, 916602, 1174742, 1683311, 1875369]
14	[346310, 617164, 924388, 1254510]
15	[204101, 735424, 1184365, 1455873, 1656601]
16	[25792, 226280, 444898, 744541, 757419, 1196426]
